localId,TalkerId,Type,SubType,IsSender,CreateTime,Status,StrContent,StrTime,Remark,NickName,Sender
1,wxid_009,1,1,1,2024-01-01 09:00:00,1,早会准备开始了，你到了吗？,2024-01-01 09:00:00,work_chat,Mike,Mike
2,wxid_010,1,1,0,2024-01-01 09:01:00,1,马上到，路上有点堵,2024-01-01 09:01:00,work_chat,Sarah,Sarah
3,wxid_009,1,1,1,2024-01-01 09:02:00,1,好的，我先帮你准备一下材料,2024-01-01 09:02:00,work_chat,Mike,Mike
4,wxid_010,1,1,0,2024-01-01 09:03:00,1,谢谢，项目进度我都更新好了,2024-01-01 09:03:00,work_chat,Sarah,Sarah
5,wxid_009,1,1,1,2024-01-01 09:04:00,1,收到，客户那边的反馈也整理了,2024-01-01 09:04:00,work_chat,Mike,Mike
6,wxid_010,1,1,0,2024-01-01 09:05:00,1,太好了，待会直接展示,2024-01-01 09:05:00,work_chat,Sarah,Sarah
7,wxid_009,1,1,1,2024-01-01 09:06:00,1,下午我们再开个小会讨论细节,2024-01-01 09:06:00,work_chat,Mike,Mike
8,wxid_010,1,1,0,2024-01-01 09:07:00,1,好的，我约一下其他同事,2024-01-01 09:07:00,work_chat,Sarah,Sarah
9,wxid_009,1,1,1,2024-01-01 09:08:00,1,辛苦了，记得准备会议记录,2024-01-01 09:08:00,work_chat,Mike,Mike
10,wxid_010,1,1,0,2024-01-01 09:09:00,1,没问题，我来负责,2024-01-01 09:09:00,work_chat,Sarah,Sarah 
